Tweet,Predicted Sentiment,Predicted Reasoning,Actual Sentiment
The grocery store I'm at has instituted one way lanes for #coronavirus crazy,Negative,"The tweet mentions ""one way lanes"" at a grocery store, which is a measure implemented due to the coronavirus. The word ""crazy"" is emotionally charged and judgmental, expressing a strong reaction. In this context, ""crazy"" likely conveys disbelief or frustration rather than excitement or approval. The overall tone suggests that the user finds the measure unusual or excessive, indicating a negative emotional reaction to the situation.",0
What are our turnip prices? #AnimalCrossingNewHorizons #AnimalCrossing #lockdowneffect #Covid_19 #COVID19,Neutral,"The tweet asks a straightforward question about turnip prices in the game Animal Crossing. There are no emotionally charged or judgmental words present. The hashtags referenced (#lockdowneffect, #Covid_19, #COVID19) provide context that the tweet may be related to activities during lockdown, but they don't convey any specific sentiment themselves. The phrasing is neutral and informational, with no positive or negative tone expressed.",1
Let s all remember to regularly check in with our colleagues amp employees How are you today 19,Positive,"The tweet uses the phrase ""let's all remember to regularly check in with our colleagues & employees,"" which encourages care, attention, and support for others. The key emotionally charged phrase here is ""check in,"" implying concern for well-being. The tone is inclusive and supportive, promoting positive social and workplace behavior. There are no negative or neutral emotionally charged words that would dampen this supportive message. The overall sentiment conveyed is one of encouragement and positivity toward mental health and interpersonal connection.",1
During this time please thank everyone at the grocery store #TrumpPressConference #CoronavirusOutbreak #Covid_19 #nycshutdown,Positive,"The tweet asks readers to express gratitude towards grocery store workers during a difficult time, presumably related to the COVID-19 pandemic and associated shutdowns. The use of the word ""thank"" is emotionally positive as it encourages appreciation. The hashtags situate the context around a challenging public health situation but do not introduce a negative or neutral emotional tone themselves. Overall, the tweet's intention is to recognize and thank essential workers, conveying a positive sentiment.",2
"ÂThe advice is to stock up on food and other essentials. To affluent families this can be achieved. This pandemic is bringing out stark societal inequalities.Â Blogger @tpilani on Looking at COVID-19 with a gendered lens: #Bulawayo, #Zimbabwe. 
https://t.co/bCss2meg76",Negative,"The tweet contains words and phrases such as ""stock up on food and other essentials,"" ""affluent families,"" and ""stark societal inequalities."" The mention of the pandemic and societal inequalities introduces a critical and serious tone, highlighting the disparity between different social groups in their ability to cope. While it is informative and raises awareness, the overall tone reflects concern about inequality rather than optimism or neutrality. Therefore, the sentiment is negative due to the highlighting of societal problems and hardships.",1
"@David_desJ You didnÂt read my first post carefully. The COVID-19 impacts are real. But a drop in stock prices doesnÂt necessarily have to translate into a drop in demand for the majority of everyday buyers. Why would it, unless youÂre talking about pe",Neutral,"The tweet discusses the impacts of COVID-19 and clarifies a point about stock prices not necessarily affecting demand for everyday buyers. There are no emotionally charged or judgmental words; the tone is factual and explanatory. It attempts to address a misunderstanding or misreading in a calm manner without expressing positivity or negativity. Thus, the overall tone is neutral, focused on clarifying information rather than expressing an emotional reaction.",0
"Slum Areas of metro cities where people are dependent on public toilet for there daily hygiene , kindly instruct all the concerned mahanagarpalika official to kindly provide sanitizer and also to sanitize the place regularly. @narendramodi #coronavirus",Neutral,"The tweet highlights the difficult conditions in slum areas where people depend on public toilets for daily hygiene. The use of words like ""dependent,"" ""kindly instruct,"" and the request for sanitizers and regular sanitization shows concern and a call for action, rather than anger or blame. The tone is earnest and appeals for improvement and support to address a public health issue. There is no overt negativity or positivity but rather a socially conscious appeal to officials to improve sanitation, which suggests a concerned and proactive tone.",2
A supermarket chain in Rome started taking shoppers temperatures at the door Italy is shutting almost all industrial output after reporting the most deaths in a day,Negative,"The tweet contains emotionally charged phrases such as ""started taking shoppers temperatures,"" ""Italy is shutting almost all industrial output,"" and ""reporting the most deaths in a day."" These phrases indicate a serious and concerning situation, likely related to a public health crisis. The tone is factual but highlights negative developments—restrictions on daily life and a high death toll. There is no positive or encouraging language, so the overall sentiment is negative due to the focus on alarming news and impact on society.",1
"@NotablyNaulty Sure. Prompt: Find a meme that is about covid-19, online schooling, or panic shopping and post it either on pic-collage or notability to be then submitted to schoology with a brief summary of the meme. Sentence starter-This meme is about. .",Neutral,"The tweet is a straightforward instructional message regarding an assignment to find a meme related to covid-19, online schooling, or panic shopping, and to submit it with a summary. It uses neutral language without any emotionally charged or judgmental words. The tone is factual and informative, focusing on directions rather than expressing an opinion or emotional state.",0
@__InTeaW The corona defines viruses that cross form animals to humans i think. Like SARS and MERS and Covid 19 is a new variation. (Tho imo the way China was prepared to handle it and stock they bought when prices was down is kinda sus). Conspiracy Cap o,Negative,"The tweet discusses the nature of coronaviruses and mentions SARS, MERS, and COVID-19, which are neutral factual statements. However, the phrase ""the way China was prepared to handle it and stock they bought when prices was down is kinda sus"" introduces suspicion and distrust by suggesting a conspiracy or suspicious behavior. The use of ""kinda sus"" (suspicious) and ""Conspiracy Cap o"" (implying disbelief in conspiracy but still mentioning it) indicates a tone that is skeptical and critical. Overall, the tweet carries a negative sentiment because of the suspicion and distrust implied regarding China's actions during the pandemic.",2
Highlights - IMCO calls for further action to be taken to tacke the COVID-19 crisis - Committee on the Internal Market and Consumer Protection - https://t.co/juyOgbiiCJ #Agenparl #Coronavirus #Covid19 #Covidagenparl #Iorestoacasa https://t.co/bK6bMacqK9,Neutral,"The tweet contains the phrase ""calls for further action to be taken to tackle the COVID-19 crisis,"" which indicates a proactive and constructive approach to a serious issue. While the COVID-19 crisis is a negative topic, the focus of the tweet is on efforts and calls for action to address it, which conveys a hopeful and solution-oriented tone. The use of hashtags related to COVID-19 and staying at home (#Iorestoacasa) also supports a responsible and community-focused attitude. There are no emotionally charged negative words expressing frustration or despair, nor overly positive words that would indicate celebration. Overall, the tweet communicates a neutral informational message with a slight constructive connotation due to the call for action.",0
Hey I read your book Becoming and I could relate to your fear of having a child with food allergy People with food allergies are going hungry We re being left out of emergency programs Can you help,Neutral,"The tweet includes emotionally charged words and phrases such as ""fear,"" ""people with food allergies are going hungry,"" and ""we’re being left out of emergency programs,"" which highlight concern, fear, and a sense of exclusion. The mention of reading the book ""Becoming"" and relating to the fear indicates some personal connection and empathy, which adds a hopeful and constructive tone as the user ends with a request for help. Overall, although the tweet expresses concern and hardship, it is not solely negative because it is also seeking assistance and understanding, which implies a proactive and somewhat hopeful attitude.",0
"Is it wise to persuade customers into your store with sale prices in stores(no sales current ad-change)?  At this moment @wholefoods could really do well to promote it's delivery service and add additional items to #amazonprime only. 
#coronavirus",Neutral,"The tweet uses words like ""wise"" and questions the strategy of using sale prices in stores when there are no sales, which suggests a critique or doubt about the current marketing approach. The phrase ""could really do well"" implies a suggestion for improvement rather than outright praise. There's an emphasis on promoting delivery services and expanding items on Amazon Prime, likely in response to the coronavirus context. Overall, the tone is critical but constructive, highlighting a missed opportunity rather than directly expressing happiness or dissatisfaction. This leads to interpreting the sentiment as neutral, since it neither conveys strong positive emotions nor strong negative complaints but rather a neutral critique or suggestion.",2
B worry by Japaneese producers is from concern of consumers that COVID 19 will lead to loss of income As they cut production producers order less raw materials our exports So fall in far away demand amp supply leads to a fall in prices for our exports tax revenue amp forex,Negative,"The tweet contains words and phrases such as ""concern,"" ""loss of income,"" ""cut production,"" ""order less raw materials,"" and ""fall in prices,"" which signify worry and negative economic impacts related to COVID-19. These terms indicate a negative tone as they describe problems and adverse consequences for producers and the economy. The overall narrative is about economic decline and uncertainty, which leans strongly towards a negative sentiment rather than neutral or positive.",0
Tesco becomes latest supermarket to create jobs to meet surge... #coronavirus #COVID19 #COVID?19 #???????????? #??????? #Covid_19 #corona #CoronavirusOutbreak #prepper #survival #bushcraft #RT #follow https://t.co/2W1jnWmvMZ,Positive,"The tweet highlights that Tesco is creating jobs in response to a surge, which is generally a positive development as it implies job creation and economic activity. The hashtags mostly relate to the coronavirus pandemic, providing context that the surge is likely related to increased demand during the COVID-19 crisis. There are no emotionally negative or judgmental words in the tweet; instead, the focus is on job creation, which is viewed positively. The additional hashtags like #prepper, #survival, and #bushcraft suggest a preparedness theme but do not impart negativity to the job-related news. The overall tone is informative and slightly optimistic due to the job creation mentioned.",2
Grocery stores offer special timeframe for Seniors to shop. Offer the same option for shoppers who chose NOT to wear a mask when shopping with others? Affluent mother and son @WholeFoods in store without masks. Hazardous to customers health. #WearAMask #groceryshopping #COVID2019,Negative,"The tweet contains emotionally charged words and phrases such as ""Hazardous to customers health,"" which indicates concern and disapproval regarding the behavior of shoppers not wearing masks. The statement contrasts the special timeframe for seniors with the lack of similar protection for those choosing not to wear masks, implying unfairness or risk. The hashtags #WearAMask and #COVID2019 emphasize a public health perspective and advocacy for mask-wearing. Overall, the tone conveys frustration and worry about the safety of customers amid the pandemic.",2
"@Tesco how comes my friend see slots available and I check it at the same time and see nothing? This is not the first time we double check. Same area, same supermarket! #tescos #onlineshopping #UKlockdown #Covid_19 https://t.co/D4FWcPGjg9",Negative,"The tweet contains emotionally charged phrases such as ""how comes,"" ""see nothing,"" and ""This is not the first time we double check,"" which indicate frustration or confusion. The user is pointing out an inconsistency or problem with Tesco’s online shopping slots, which is a negative experience. The hashtags (#tescos #onlineshopping #UKlockdown #Covid_19) provide context that this issue is occurring during a sensitive time (lockdown), possibly increasing the user's frustration. The tone is clearly critical and seeking clarification but primarily expressing dissatisfaction. Therefore, the overall sentiment is negative.",2
"Someone mentioned today that folks working grocery store jobs, Costco, et al are unsung heroes in this fight..

The folks in our local @publix are working their asses off with testy customers and a freaked out supply chain. Be good when you're shopping.

#BeGrateful",Positive,"The tweet uses emotionally charged words and phrases such as ""unsung heroes,"" ""working their asses off,"" and ""BeGrateful,"" which indicate appreciation and recognition of the hard work done by grocery store employees. The mention of ""testy customers"" and a ""freaked out supply chain"" acknowledges challenges but does so to highlight the employees' efforts and encourage kindness. Overall, the tone is supportive, respectful, and grateful.",2
"We are praying for all those impacted by the #Covid_19 #pandemic.Â  In these difficult times, your well-beingÂ and protection is our main focus. If you are interested in learning about prices and market changes, or have a question, we are here for you. DM or call me at 727-515-9551 https://t.co/XdhcCzO35b",Positive,"The tweet includes emotionally charged words and phrases such as ""praying,"" ""impacted,"" ""difficult times,"" ""well-being,"" and ""protection,"" which acknowledge the seriousness of the COVID-19 pandemic and express care and concern for those affected. The tone is compassionate and supportive, emphasizing a focus on others' safety and offering help with questions or market information. There is no expression of anger, frustration, or negativity, nor is the content purely informational without emotional content. The overall tone is empathetic and encouraging, which aligns with a positive sentiment.",2
Just left the supermarket It was such a gut wrenching experience I saw senior citizens frantically searching for some food There was one couple arguing and the husband was saying give up we can t keep going to different stores and risk being exposed  ,Negative,"The tweet contains emotionally charged words and phrases such as ""gut wrenching,"" ""frantically searching,"" ""arguing,"" and ""risk being exposed."" These words convey distress, anxiety, and a sense of struggle. The mention of senior citizens frantically searching for food points to a troubling situation, likely related to scarcity or difficulty in accessing supplies. The argument between the couple and the concern about exposure further emphasize feelings of worry and tension. Overall, the tone is somber and highlights challenges faced, which frames the tweet in a negative light.",0
"#NigeriaÂs government is to cut the price of petrol as global crude oil prices plummet.
A litre will cost 125 naira ($0.34, Â£0.29), down from 145 naira. #coronavirus 
https://t.co/nSmvSS2p8C https://t.co/nOreRAE03w",Neutral,"The tweet provides factual information about a government decision to reduce petrol prices in Nigeria due to declining global crude oil prices. Words like ""cut the price"" and ""down from 145 naira"" indicate a positive financial impact for consumers but are presented in a neutral and informative manner without emotional or judgmental language. The hashtag #coronavirus may hint at the broader economic context but does not add emotional tone. Overall, the tone is neutral and information-focused without overt positive or negative sentiment.",0
"Cycleways &amp; pedestrian routes make transport more resilient to changing oil prices, extreme weather, viruses. 
They don't discriminate.  And they reduce air pollution &amp; slow climate change. #cycling #climatecrisis #resilience @CanadaBikes @TCATonline  
https://t.co/DNArTAy5VR",Positive,"The tweet contains several positively charged words and phrases such as ""make transport more resilient,"" ""don't discriminate,"" ""reduce air pollution,"" and ""slow climate change."" These words indicate a favorable viewpoint on cycleways and pedestrian routes. The mention of resilience to ""changing oil prices, extreme weather, viruses"" underscores their robustness and adaptability, which is also positive. The hashtags #cycling, #climatecrisis, and #resilience reinforce the constructive context surrounding environmental and social benefits. The overall tone is optimistic and supportive of sustainable transport solutions.",1
"A new report from the User Experience Strategies Service (UXS) at Strategy Analytics has examined the likely long-term impact of the pandemic on consumer human-machine interface (HMI) preferences.

https://t.co/EklqlpxdOe https://t.co/al0ZGUNmav",Neutral,"The tweet primarily conveys information about a new report examining the long-term impact of the pandemic on human-machine interface preferences. The language is factual and neutral, with no emotionally charged or judgmental words present. It does not express any positive or negative opinion but rather shares information and a link to the report. There is an absence of subjective tone or sentiment, so the overall tone is neutral.",1
"The grocery store employees of #memphis deserve a hug. They are working tirelessly, and standing directly in the path of the #coronavirus. Tag someone who deserves some love. https://t.co/8xR9JMqhqW",Positive,"The tweet uses emotionally charged and positive words such as ""deserve a hug,"" ""working tirelessly,"" and ""deserves some love,"" which express appreciation and gratitude towards grocery store employees. The phrase ""standing directly in the path of the #coronavirus"" highlights the bravery and risk these workers face, adding a tone of respect and admiration rather than fear or negativity. The overall message encourages recognition and support for these employees. There is no indication of negativity or neutrality; instead, the tweet conveys a supportive and thankful sentiment.",2
I really see why ppl are flocking to cannabis clubs right now. We are in crazy times. I work at a grocery store! We need to hand out edibles or joints to our customers cuz they really have no chill! #CoronaVirus got ppl acting a fool,Negative,"The tweet contains emotionally charged phrases such as ""crazy times,"" ""no chill,"" and ""acting a fool,"" which indicate a negative tone about the current situation. The mention of people flocking to cannabis clubs and the humorous suggestion of handing out edibles or joints highlights frustration and stress due to the circumstances caused by the Coronavirus pandemic. While there is a slight humorous undertone, the overall context reflects frustration and concern rather than positivity or neutrality.",0
Waiting on a fucking line to get into a fucking supermarket!! #kroger $kr #supermarket #foodsupply #coronavirus,Negative,"The tweet contains emotionally charged words such as ""fucking,"" which is used twice to emphasize frustration and impatience. The context is about waiting in line to enter a supermarket, which, combined with the hashtags #coronavirus and #foodsupply, suggests a stressful situation likely caused by pandemic-related restrictions or supply shortages. The tone of the tweet is clearly one of annoyance and dissatisfaction with the situation. There are no positive or neutral indications in the language used.",1
"We are temporarily closing many retail stores to the public in urban areas &amp; adjusting retail store hours at our other stores starting 3/18. We are taking this action to help keep our employees and customers healthy, &amp; to help answer the increase of calls. https://t.co/11Z5c2sJaN",Neutral,"The tweet contains some words that could be emotionally charged depending on the context, such as ""temporarily closing,"" ""adjusting retail store hours,"" and ""help keep our employees and customers healthy."" The phrase ""temporarily closing many retail stores"" might initially seem negative due to the inconvenience and potential loss of business. However, the reason given for this action is positive: ensuring the health of employees and customers and managing increased call volume. The message is informational and aims to communicate proactive, responsible measures being taken. The overall tone is neutral because it delivers factual information without expressing strong emotions or opinions. It is not celebrating or promoting, nor is it expressing distress or complaint.",2
"Accessing food can be a challenge for seniors during this time. Thankfully, organizations like @ProjAngelFood are there to helpÂbut they need help, too. TheyÂre looking for volunteers to meet the increased demand for services. https://t.co/AEKhvJ7lrF",Positive,"The tweet contains emotionally charged words such as ""challenge,"" ""thankfully,"" and ""help."" ""Challenge"" highlights a difficulty faced by seniors, which carries a slightly negative connotation. However, the overall tone shifts positively with ""thankfully,"" indicating gratitude for organizations like @ProjAngelFood that provide support. The call for volunteers suggests a proactive and hopeful stance, emphasizing community involvement and assistance. Therefore, despite mentioning a hardship, the tweet’s emphasis is on positive actions and the potential for help and improvement.",2
"As food banks across the country brace for a surge in demand, while thousands indefinitely lose their jobs in the face of mandated closures during the COVID-19 pandemic, area pantries are adjusting to ensure everyone gets needed food. https://t.co/02dlX6WBt3",Neutral,"The tweet uses emotionally charged words and phrases such as ""surge in demand,"" ""thousands indefinitely lose their jobs,"" ""mandated closures,"" and ""COVID-19 pandemic,"" which highlight the serious and troubling situation related to food insecurity and unemployment. These indicate a negative context regarding the challenges faced by communities. However, the latter part of the tweet mentions that ""area pantries are adjusting to ensure everyone gets needed food,"" which introduces a positive and hopeful element, emphasizing community efforts and support despite difficulties. Overall, the tone acknowledges hardship but also highlights resilience and assistance. Given the balance of concern and proactive response, the predominant sentiment leans toward neutral, as it is informative and descriptive rather than purely positive or negative.",0
@carlquintanilla @CowenResearch @foxandfriends @FoxBusinessAM @MorningsMaria @cspanwj @CDCgov Going Out To Bars Again? Pre COVID-19 Economics a Fantasy Now &amp; See a Total Shift In Consumer Spending/Habits After COVID. More At Home Purchases/Movie Watch,Negative,"The tweet contains phrases like ""Pre COVID-19 Economics a Fantasy Now"" and ""See a Total Shift In Consumer Spending/Habits After COVID,"" which suggest a critical or somewhat negative view of the economic conditions before COVID-19 and highlight significant changes in consumer behavior. The mention of ""Going Out To Bars Again?"" contrasts past behaviors with current realities, implying a shift away from those activities. Though the tweet is largely observational and factual about changes in consumer habits (such as more at-home purchases and movie watching), the phrase ""a Fantasy Now"" carries a negative connotation about the past economic expectations. Overall, the tone comes across as more critical or negative regarding past economics and the impact of COVID-19 on consumer habits, rather than positive or neutral.",1
"How will grocery shopping change? The coronavirus crisis has forced shoppers to change habits. Which ones are here to stay? &gt;&gt;

https://t.co/8xfdbuykIB

#NACS #NACSDaily #CStores #Convenience #ConvenienceStores #CStore #Grocery #COVID19 #Coronavirus #Groceries #Shopping #Consumer https://t.co/VlIbczNfAZ",Neutral,"The tweet discusses how grocery shopping habits have changed due to the coronavirus crisis and poses a question about which changes will remain permanent. The language used is factual and inquisitive rather than emotional or judgmental. Words like ""crisis"" indicate a negative event, but the overall tone is neutral as it focuses on understanding the impact and future trends without expressing a positive or negative opinion. The hashtags and links suggest an informative context aimed at sharing knowledge rather than expressing sentiment.",0
This is just astonishing. https://t.co/nYbk9XHPpx,Neutral,"The key emotionally charged word in this tweet is ""astonishing."" This word typically conveys a strong reaction of surprise or amazement. However, the tweet does not include any other context or clarifying details that indicate whether this astonishment is positive or negative. The tone is neutral because ""astonishing"" can be used in both positive and negative contexts depending on what the linked content shows, which is unknown from this text alone. Therefore, without additional context, the sentiment remains neutral.",1
"ThatÂs such an awesome idea! Through the #coronavirus chaos IÂm grateful for (in addition to positive people like you) the essential workers: grocery store employees, sanitation workers &amp; healthcare professionals that are working so hard for us! 
HBU @DJonesWHIO @Courtney247NOW https://t.co/FtNSo9Zn7I",Positive,"The tweet contains several emotionally positive and appreciative words and phrases such as ""awesome idea,"" ""grateful,"" ""positive people,"" and acknowledgment of ""essential workers"" who are ""working so hard."" This indicates admiration and thankfulness amidst a challenging situation (#coronavirus chaos). The tone is clearly uplifting and supportive, aiming to recognize and appreciate the efforts of others. There is no negativity or neutral stance detected in the wording or context.",2
"We are receiving many enquiries about issues related to travel, event cancellations and excessive pricing. While individual circumstances will vary, we urge consumers to read our helpful advice which is continually being updated as things change.

https://t.co/UXJqhMtEC5 https://t.co/osG9v2Tidj",Neutral,"The tweet contains words like ""issues,"" ""cancellations,"" and ""excessive pricing,"" which are emotionally charged and generally negative. However, the tone of the tweet is informative and supportive, as it addresses concerns by urging consumers to read helpful and updated advice. There is no expression of anger, frustration, or praise, but a neutral and helpful approach to the situation. Therefore, while the content references negative issues, the overall tone of the message is neutral.",2
Ask a Bioethicist Should I Be Online Grocery Shopping During COVID 19,Neutral,"The tweet is a straightforward question about the safety or advisability of online grocery shopping during the COVID-19 pandemic. There are no emotionally charged or judgmental words present; it is a neutral, factual inquiry seeking advice from a bioethicist. The tone does not express excitement, fear, joy, or frustration—it is informational and inquisitive. Therefore, the sentiment is neutral.",1
Street stocks finish lower as a rally based on optimism over apparent progress in combating the fades late in the session 19,Negative,"The tweet includes the phrase ""Street stocks finish lower,"" which is a negative indicator as it shows decline in stock prices. However, it also mentions ""a rally based on optimism over apparent progress,"" which is a positive element indicating some hope or improvement. The overall tone balances between the negative outcome (stocks finishing lower) and the positive catalyst (optimism and progress). Since the final result is stocks ending lower despite some optimism, the tone leans more towards reporting a negative outcome with a hint of cautious optimism rather than outright positivity or neutrality.",2
"From @MarketBasket email:
""We will not have a sales flyer for the week of 3/29/2020 Â 4/4/2020.
We invite you to shop MB for all of our everyday low prices.""
*Totally* understandable if not just plain smart.  Thanks for letting us know. Keep up the good work!
#CoronaVirus #BeWell",Positive,"The tweet includes emotionally positive words such as ""Totally understandable,"" ""just plain smart,"" ""Thanks for letting us know,"" and ""Keep up the good work!"" These phrases express approval and appreciation toward Market Basket's decision to not have a sales flyer during the specified week. The hashtags #CoronaVirus and #BeWell provide context that the decision is likely related to the pandemic, which adds understanding and support. There is no negative or neutral tone evident; instead, it conveys gratitude and encouragement.",2
yeah if you have online class work you want done dm for prices #ZoomUniversity #coronavirus,Neutral,"The tweet contains the phrase ""you want done dm for prices"" which indicates a service offering help for online class work. The hashtags #ZoomUniversity and #coronavirus provide context related to the pandemic and remote learning. While the tweet somewhat casually addresses a current situation, it does not express any strong positive or negative emotions. Instead, it is more informational and transactional, offering help without judgment or emotional charge. Therefore, the overall tone can be considered neutral.",2
"A substance found in drugs used to treat malaria and severe arthritis cleared by Trump, FDA for #coronavirus testing also found in fish tanks -- and prices online are soaring.

https://t.co/cgGcY37KyL",Negative,"The tweet contains emotionally charged words such as ""cleared,"" ""soaring,"" and references to the substance being ""found in fish tanks."" The word ""cleared"" is neutral but may imply approval or official permission. However, the mention of the substance being found in fish tanks could evoke skepticism or concern about its safety or appropriateness for coronavirus treatment. The phrase ""prices online are soaring"" carries a negative connotation, suggesting inflation or opportunistic price increases. Overall, the tone is informative but carries some critical undertones about the drug's use and price surge, indicating concern rather than optimism or outright negativity.",2
COVID-19's business and consumer impact in Europe: https://t.co/65J7BSwm48 HT @Fisher85M #machinelearning #ai #iot ht @eMarketer https://t.co/HO1tUdHFiM,Neutral,"The tweet discusses the impact of COVID-19 on business and consumers in Europe, which is a neutral statement of fact. It includes a link to further information and hashtags related to technology such as #machinelearning, #ai, and #iot, without expressing any personal judgment or emotional tone. The use of ""impact"" could imply changes or effects, but there is no explicitly positive or negative language or sentiment expressed. Overall, the tweet serves as an informative message rather than conveying an emotional stance.",1
"COVID-19 Lockdown: Ilorin residents flood markets, streets to stock food, others https://t.co/iJC8UCGeE5 https://t.co/fCMufPwEWU",Neutral,"Step 1: The tweet contains emotionally charged words/phrases such as ""COVID-19 Lockdown,"" ""residents flood markets,"" and ""stock food."" These convey urgency and possibly anxiety related to the lockdown situation. However, there is no explicitly positive or negative judgment expressed; the wording is largely descriptive of people's behavior in response to lockdown measures. Step 2: The overall tone is informative, reporting on residents' reaction to the lockdown without expressing approval or disapproval. The mention of flooding markets and streets could imply concern or stress, but the language remains neutral and factual. Step 3: Given the absence of strong emotional judgment and the primarily descriptive nature of the tweet, the sentiment is best classified as Neutral.",1
"#Copper prices crashed below $5,000 a tonne for the first time in more than three years as growing expectations of surplus metal were reinforced by large deliveries to @LME_news registered warehouses. Will shutdowns &amp; production halts due to #Coronavirus reverse the price trend?",Neutral,"The tweet contains words such as ""crashed"" and phrases like ""below $5,000 a tonne for the first time in more than three years,"" which have a negative connotation regarding the price of copper. The term ""growing expectations of surplus metal"" also suggests an oversupply situation, reinforcing a bearish tone. However, the tweet neutrally reports these facts without expressing explicit judgment or emotional bias. The question about whether shutdowns and production halts might ""reverse the price trend"" introduces uncertainty but does not add a positive or negative sentiment. Overall, the tweet is informative and analytical without clear emotional charge or bias.",2
"@EddieHearn caught fleecing people #Covid_19 #stockpilingUK #CoronavirusPandemic
#CoronaCrisisuk #CoronaCrisis
#CoronavirusPandemic
#coronavirus #COVID19
#toiletpapercrisis
#toiletpaper 
https://t.co/Yu7hGfXoeH",Negative,"The tweet uses the phrase ""caught fleecing people,"" which is emotionally charged and has negative connotations, implying deception or exploitation. The context of the hashtags (#Covid_19, #stockpilingUK, #CoronavirusPandemic, #CoronaCrisisuk, #CoronaCrisis, #coronavirus, #COVID19, #toiletpapercrisis, #toiletpaper) relates to the COVID-19 pandemic and the associated panic buying or stockpiling behavior. The overall tone suggests criticism or accusation towards Eddie Hearn for profiting unethically during a crisis, which is a negative judgment.",1
Only just heard that UK closed all their stores yesterday are still paying their staff and donated all food stock to community projects those in need in the midst of the COVID 19 pandemic Respect  ,Positive,"The tweet contains emotionally positive and approving words such as ""respect,"" ""donated,"" ""those in need,"" and mentions actions like paying staff despite closures and contributing food stock to community projects during a difficult time (the COVID-19 pandemic). These words and actions convey a tone of admiration and commendation towards the UK stores for their responsible and altruistic behavior. There is no negativity or criticism present, and the overall context highlights empathy and social responsibility.",2
...especially those who are whining about there not being meat on supermarket shelves.  Eating animal flesh is what got us into this frigging mess in the first place. #coronavirus #animalagriculture #meat https://t.co/1jgkZ57iaP,Negative,"The tweet contains emotionally charged words such as ""whining,"" which has a negative connotation, and ""frigging mess,"" which expresses frustration or anger. The phrase ""Eating animal flesh is what got us into this frigging mess in the first place"" assigns blame and expresses dissatisfaction, indicating a critical and negative tone. The hashtags (#coronavirus #animalagriculture #meat) suggest the topic is related to the consequences of animal agriculture on the pandemic and the shortage frustration in supermarkets. Overall, the tweet conveys criticism and dissatisfaction, showing a negative emotional tone.",0
I took this photo just now to show there is plenty of bread at my local supermarket #panickbuying #pandemic #ChinaLiedPeopleDied #coronavirus #CoronaVirusUpdate #CoronaInPakistan #ThursdayMotivation #coronavirusindia #covid19UK #FightCOVID19 #workingfromhome https://t.co/y8N2M3lHcs,Neutral,"The tweet contains emotionally charged hashtags like #panickbuying, #ChinaLiedPeopleDied, #coronavirus, and #covid19UK, which imply concern and reference serious issues related to the pandemic. However, the main message of the tweet states that there is ""plenty of bread"" at the local supermarket, which is meant to reassure readers that there is no shortage. The phrase ""I took this photo just now to show"" suggests an intent to calm fears rather than to alarm. While some hashtags express negative sentiments about the pandemic, the tone of the tweet itself is informative and somewhat reassuring, countering panic. Due to the combination of concerned hashtags and a calming main message, the sentiment overall leans toward neutral, as it aims to inform without strong positive or negative emotion in the main content.",1
Day 3 social distancing . Picked up groceries that we ordered online instead of shopping in the stores. #day3 #socialdistancing #grocerypickup #covid_19 #stayhome #wegotthis https://t.co/jpiNZ2VLNZ,Positive,"The tweet contains emotionally neutral words describing a routine activity, ""Picked up groceries that we ordered online instead of shopping in the stores."" The hashtags such as #stayhome and #wegotthis convey a sense of encouragement and solidarity during a challenging time, which adds a mildly positive tone. There are no negative or judgmental words. Overall, the tweet portrays a factual update with a hopeful attitude toward social distancing, leaning more toward positivity due to the encouraging hashtags.",1
"Around the world, consumers are responding to #COVID19 by social distancing, working remotely, &amp; staying home. Following up on our U.S. survey, @CottonInc posed a series of questions to 500 consumers in China. https://t.co/mMkvYUgsc1 https://t.co/qGlww65jDF",Neutral,"The tweet primarily provides information about how consumers around the world are responding to COVID-19 through social distancing, remote work, and staying home. The language used is factual and descriptive, without any emotionally charged or judgmental words. The mention of a survey with consumers in China is also presented in a neutral, informational tone. There is no expression of positive or negative emotion, opinion, or subjective judgment in the tweet. It is simply an objective report on a behavioral response to a global situation.",1
Don t die A amp E consultant Dr Al told how 55yr old work from home woman who made one trip to the supermarket died yesterday of COVID 19 51 16 Governments can t say this We can Stay home Save lives DON T DIE,Negative,"The tweet contains emotionally charged words and phrases such as ""Don t die,"" ""died yesterday of COVID 19,"" and ""Save lives,"" which convey a serious and urgent message. The mention of a 55-year-old woman who died despite limited exposure emphasizes the deadly impact of COVID-19, which adds a somber and cautionary tone. The repeated phrase ""DON’T DIE"" serves as an urgent warning. While the message encourages protective behavior (""Stay home Save lives""), the overall tone reflects concern and grief rather than optimism or neutrality.",0
"@AshWebsterFBN Post-COVID-19 Recovery. I anticipate a sharp recovery once the mindless hysteria has ended. Economists expected a depression after WWII only to see an explosive economic expansion as long-suppressed consumer demand pursued supply. 
1/2",Positive,"The tweet contains emotionally charged words such as ""mindless hysteria,"" which implies a negative judgment about current reactions to COVID-19. However, the overall tone anticipates a ""sharp recovery"" and references historical economic expansion, which conveys optimism about the future. The reference to a positive economic outlook after a crisis supports a hopeful and encouraging message. Thus, despite some negative phrasing referring to the current situation, the overall sentiment expressed is one of optimism and confidence in recovery.",0
